mat-pervaya-kategoriya | пример | линейная-алгебра | методика-курса | Mat: объекты — натуральные числа, стрелки n→m — матрицы m×n, композиция — умножение; аксиомы зал уже проверил в школе | средняя | новый-взгляд | нет | нет | категория | несёт-язык | мат · берёт · черновик | mat-ne-nuzhna-zapis; mat-biproduct; kategoriya-opredelenie; set-kategoriya
kategorifikaciya-arifmetiki | мотивация | комбинаторика | теория-множеств | Школьная арифметика — тень категории конечных множеств: + = ⊔, × = ×, ^ = экспонента, 0 = ∅, 1 = {∗}, равенства чисел = биекции | высокая-геометричная | новый-взгляд | К1 | аналогия | CCC | несёт-язык | мат · берёт · черновик | dekategorifikaciya-teryaet; zakon-stepenej-karrirovanie; chto-ne-kategorificiruetsya; eksponenta-2v3
dekategorifikaciya-teryaet | находка | комбинаторика | теория-множеств | 2+3=5 и 3+2=5 — одно равенство, но биекций 2⊔3 → 5 много: число забывает КАК, категория помнит; «равно» → «изоморфно» | высокая-геометричная | новый-взгляд | К1 | формализовать | эквивалентность | несёт-язык | мат · берёт · черновик | kategorifikaciya-arifmetiki; pochemu-do-izo
chto-ne-kategorificiruetsya | находка | комбинаторика | алгебра-общая | Вычитание и деление не категорифицируются: конечные множества — полукольцо, не кольцо; отсюда видно, почему нет вычитания стрелок | средняя | новый-взгляд | К1 | классиф | контекст-без-языка | контекст | мат · берёт · черновик | kategorifikaciya-arifmetiki
contravariance | понятие | линейная-алгебра | теория-категорий | Вводить не через $C^{op}$, а через $(AB)^T=B^TA^T$: транспонирование — переход к дуальному, а дуальное контравариантно | средняя | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · берёт · черновик | functor; dual-functor; transpose-contravariant; dual-not-natural-proof
transpose-contravariant | пример | линейная-алгебра | теория-категорий | $(-)^T: Mat \to Mat^{op}$. Школьная формула $(AB)^T=B^TA^T$ становится теоремой о контравариантном функторе; цена 0 | средняя | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · берёт · черновик | contravariance; dual-functor
dual-functor | пример | линейная-алгебра | теория-категорий | $V\mapsto V^*=Hom(V,k)$; $f^*$ в базисе — транспонированная матрица. Дуальный функтор — транспонирование, снятое с базиса | средняя | новый-взгляд | К1 | классиф | функтор | несёт-язык | мат · приручение · черновик | transpose-contravariant; dual-not-natural-proof; double-dual; hom-functor
double-dual | пример | линейная-алгебра | теория-категорий | $v\mapsto (f\mapsto f(v))$ — формула без единого выбора; спросить зал «где здесь базис?». Вот это и есть «естественно» | средняя | новый-взгляд | К1 | формализовать | ест.преобр | несёт-язык | мат · берёт · черновик | dual-functor; nat-transf; motivation-EM
dual-not-natural-proof | утверждение | линейная-алгебра | теория-категорий | Естественного $Id\Rightarrow(-)^*$ нет: на $f=\lambda\,id$ квадрат даёт $\lambda^2=1$ для всех $\lambda$. Три строки, на группоиде | средняя | новый-взгляд | К1 | формализовать | ест.преобр | несёт-язык | мат · берёт · черновик | dual-functor; gl-action-dual; motivation-EM; nat-transf
gl-action-dual | пример | линейная-алгебра | теория-групп | $GL(V)$ действует на $V^*$ как $(g^T)^{-1}$: скаляр $\lambda$ на $V$ — это $\lambda^{-1}$ на $V^*$. Несущий факт доказательства | сухая | нет | нет | нет | контекст-без-языка | контекст | мат · берёт · черновик | dual-not-natural-proof; transpose-contravariant
det-natural | пример | линейная-алгебра | алгебра-общая | $\det: GL_n\Rightarrow(-)^\times$ — ЕП функторов. Квадрат «det после mod 2 = mod 2 после det» зал проверит на 2×2 за 20 секунд | средняя | новый-взгляд | нет | формализовать | ест.преобр | несёт-язык | мат · берёт · черновик | nat-transf; naturality-square; scene-det-square
motivation-scalar-product-is-choice | мотивация | линейная-алгебра | физика | Скалярное произведение — ВЫБОР изоморфизма $V\cong V^*$; поднятие и опускание индексов и метрика в физике — про этот выбор | высокая-геометричная | новый-взгляд | К1 | формализовать | ест.преобр | несёт-язык | мат · берёт · черновик | currying-bilinear; dual-functor; motivation-EM
cayley | утверждение | теория-групп | теория-категорий | Кэли — следствие Йонеды для группы как категории с одним объектом; «ты — это то, что ты делаешь с другими». 3 строки | средняя | новый-взгляд | К2 | короче | за-бортом | за-потолком | мат · берёт · черновик | yoneda; representable
floor-ceiling | пример | теория-множеств | теория-категорий | ⌈−⌉ ⊣ ι ⊣ ⌊−⌋ для $\mathbb{Z}\hookrightarrow\mathbb{R}$ — двойное сопряжение от одного вложения, проверка занимает 10 секунд | средняя | новый-взгляд | К3 | формализовать | контекст-без-языка | контекст | мат · берёт · готово | adjunction; motivation-floor-ceiling; scene-numberline
free-forgetful-vect | пример | линейная-алгебра | теория-категорий | $Hom(FX,W)\cong Hom(X,UW)$ — дословно «линейное отображение задаётся образами базиса»; единица = вложение базиса | средняя | новый-взгляд | К2 | аналогия | универсальное-свойство | за-потолком | мат · берёт · черновик | adjunction; unit-counit; free-vect-monad; motivation-floor-ceiling
currying-bilinear | пример | линейная-алгебра | — | Каррирование формы $u^TAv$ даёт $u\mapsto(v\mapsto u^TAv)$, т.е. $V\to V^*$: отождествить $V$ и $V^*$ = выбрать $A=I$ | средняя | новый-взгляд | К1 | формализовать | экспонента | несёт-язык | мат · берёт · seed | currying-adjunction; dual-not-natural-proof; motivation-scalar-product-is-choice
free-vect-monad | пример | линейная-алгебра | теория-категорий | $T=UF$ на Set: стрелка Клейсли = матрица, композиция = умножение матриц, $\mu$ = буквально $\Sigma_j a_{ij}b_{jk}$ | средняя | новый-взгляд | К2 | классиф | за-бортом | за-потолком | мат · берёт · черновик | monad; kleisli; free-forgetful-vect; scene-kleisli-sigma
closure-monad | пример | линейная-алгебра | геометрия | span и conv — монады на ч.у. подмножеств: $S\subseteq span(S)$ это $\eta$, $span(span S)=span S$ это $\mu$. Монада, которую рисуют | высокая-геометричная | новый-взгляд | К2 | классиф | за-бортом | за-потолком | мат · берёт · черновик | monad; scene-hull
stochastic-matrices | пример | вероятность | линейная-алгебра | Клейсли монады распределений = стохастические матрицы; композиция Клейсли = Чепмен–Колмогоров, цепь Маркова — стрелка | средняя | новый-взгляд | К2 | классиф | за-бортом | за-потолком | мат · берёт · черновик | monad; kleisli; free-vect-monad
abelianization | пример | теория-групп | теория-категорий | $G\mapsto G/[G,G]$ сопряжено вложению Ab в Grp; единица — каноническая проекция. Резервный и дорогой пример, 2 слайда | средняя | нет | нет | нет | за-бортом | за-потолком | мат · приручение · черновик | adjunction; unit-counit
chl | утверждение | логика | информатика-и-типы | $A\to B$ разом импликация, тип и экспоненциал: λ-исчисление ≃ CCC ≃ интуиционистская логика; словарь трёх колонок — 10 минут | средняя | новый-взгляд | К1 | перенос | КХЛ | несёт-язык | мат · приручение · черновик | ccc-opredelenie; currying-adjunction; nno; curry-howard-lambek
nno | понятие | логика | информатика-и-типы | $N$ с $0:1\to N$ и $s$, универсальный. УС описывает рекурсию и вынуждает + и ×; работает там, где аксиомы Пеано не имеют смысла | средняя | новый-взгляд | К1 | формализовать | NNO | несёт-язык | мат · приручение · черновик | recursion-nno; ccc-opredelenie; nno-prodolzhenie; scene-nno-staircase; nno-arifmetika-rekursiej; verdict-nno-adres; nno-dva-vhoda; omega-opredelenie
recursion-nno | утверждение | информатика-и-типы | логика | Из УС NNO примитивная рекурсия определена И однозначна разом; эквивалентно — $N$ начальная алгебра $X\mapsto 1+X$. 5 строк | средняя | новый-взгляд | К1 | короче | NNO | несёт-язык | мат · приручение · черновик | nno; scene-nno-staircase; nno-dva-vhoda; nno-arifmetika-rekursiej; verdict-nno-adres; lawvere-n-do-us
scena-dve-teni | сцена | геометрия | теория-категорий | Точка и две её тени; тени двигают независимо — точка находится однозначно: ⟨f,g⟩ без единой формулы, и это Галилей | высокая-геометричная | новый-взгляд | К3 | аналогия | произведение | несёт-язык | мат · берёт · черновик | galiley-proizvedenie; proizvedenie-opredelenie
hasse-scena | сцена | теория-чисел | комбинаторика | Решётка делителей 60: произведение — вниз, копроизведение — вверх, терминал 60, начальный 1, позже импликация Гейтинга | высокая-геометричная | новый-взгляд | К1 | классиф | произведение | несёт-язык | мат · берёт · черновик | chum-kategoriya; nod-universalnoe; heyting-vyrozhdennyj-ccc
scene-naturality-slide | сцена | линейная-алгебра | теория-категорий | Лента квадратов и ползунок по X: всё перерисовывается, формула η — нет. Естественность = то, что не мигает; для V≅V* мигает | высокая-геометричная | новый-взгляд | К1 | формализовать | ест.преобр | несёт-язык | мат · берёт · черновик | nat-transf; naturality-square; dual-not-natural-proof
scene-det-square | сцена | линейная-алгебра | теория-чисел | Единственная сцена, где зал сам считает оба пути и сходится: det[[3,5],[2,7]]=11→1 mod 2 и обратный путь тоже 1 | средняя | новый-взгляд | К2 | нет | ест.преобр | несёт-язык | мат · берёт · черновик | det-natural; naturality-square
scene-numberline | сцена | анализ | теория-категорий | Ползунок x и два липких маркера ⌈x⌉, ⌊x⌋: на целом один прыгает, другой стоит — видна асимметрия левого и правого сопряжённого | высокая-геометричная | новый-взгляд | К1 | аналогия | за-бортом | за-потолком | мат · берёт · черновик | floor-ceiling; motivation-floor-ceiling
scene-hull | сцена | геометрия | теория-категорий | Оболочка затягивается резинкой; применить ещё раз — кадр не дрогнул: μ и идемпотентность видны как ОТСУТСТВИЕ движения | высокая-геометричная | новый-взгляд | К2 | аналогия | за-бортом | за-потолком | мат · берёт · черновик | closure-monad; monad
scene-yoneda-probe | сцена | линейная-алгебра | теория-категорий | Объект — чёрный ящик, в него стреляют стрелками из A; матричная посадка: eᵢ влетают, столбцы A·eᵢ выпадают, матрица собрана | высокая-геометричная | новый-взгляд | К1 | аналогия | за-бортом | контекст | мат · приручение · черновик | yoneda; hom-functor; cayley
scene-nno-staircase | сцена | информатика-и-типы | теория-категорий | Лестница h(0)=a, h(1)=f(a), h(2)=f(f(a))…: каждая ступенька зажигается как единственно возможная — диаграмма не оставляет выбора | средняя | новый-взгляд | К1 | формализовать | NNO | несёт-язык | мат · приручение · черновик | nno; recursion-nno
scene-kleisli-sigma | сцена | линейная-алгебра | теория-категорий | Комбинация комбинаций раскрывается в двойную сумму, скобки схлопываются — из μ: T²⇒T выпадает Σ_j aᵢⱼbⱼₖ | средняя | новый-взгляд | К2 | аналогия | за-бортом | за-потолком | мат · берёт · черновик | free-vect-monad; kleisli; monad
zavisimoe-proizvedenie | понятие | информатика-и-типы | теория-категорий | Зависимая функция: тип результата меняется вместе с аргументом, обычная — частный случай. В Set элементарно, общий Πf — нет | средняя | незнакомый-объект | К2 | нет | за-бортом | за-потолком | мат · берёт · черновик | verdict-rifma-lccc; riehl-lccc-donor; eksponenta-opredelenie; ccc-opredelenie; zachem-zavisimaya-funkciya; pf-est-pi-tip
zachem-zavisimaya-funkciya | мотивация | линейная-алгебра | информатика-и-типы | n ↦ Iₙ: у функции нет одного кодомена, ℝ^{n×n} растёт с n. Обычный тип забывает размер — зависимый помнит | средняя | новый-взгляд | К1 | формализовать | за-бортом | за-потолком | мат · берёт · черновик | kategorifikaciya-arifmetiki; zakon-stepenej-karrirovanie; dekategorifikaciya-teryaet; zavisimoe-proizvedenie; scena-zavisimaya-korobka
scena-zavisimaya-korobka | сцена | линейная-алгебра | топология | Ползунок по n: сама РАМКА кодомена растёт 1×1→2×2→3×3. Второй кадр — слои разной высоты над базой и сечение | высокая-геометричная | новый-взгляд | К1 | нет | за-бортом | за-потолком | мат · берёт · черновик | zavisimoe-proizvedenie; zachem-zavisimaya-funkciya; cep-univalentnost
pf-est-pi-tip | мостик | информатика-и-типы | логика | Πf = Π-тип Martin-Löf = ∀ = пространство сечений: один объект, четыре языка; две независимые опоры — HoTT Table 1 и Riehl | высокая-геометричная | новый-взгляд | К1 | перенос | за-бортом | за-потолком | мат · приручение · черновик | zavisimoe-proizvedenie; verdict-rifma-lccc; cep-univalentnost; tip-tozhdestva; nno
tip-tozhdestva | понятие | информатика-и-типы | топология | Равенство a=b — сам тип Id_A(a,b); его элементы читаются как ПУТИ, и свидетелей равенства может быть несколько | высокая-геометричная | новый-взгляд | К1 | формализовать | за-бортом | за-потолком | мат · приручение · черновик | pochemu-do-izo; dekategorifikaciya-teryaet; cep-univalentnost; pf-est-pi-tip
cep-univalentnost | мостик | логика | методика-курса | Цепь «равенство→тип→путь→группоид→унивалентность» проходит end-to-end за ~15 мин — но только реколлом трёх посеянных семян | средняя | новый-взгляд | К1 | формализовать | за-бортом | за-потолком | мат · приручение · черновик | tip-tozhdestva; pochemu-do-izo; dekategorifikaciya-teryaet; pf-est-pi-tip; granica-hott-topos
granica-hott-topos | находка | логика | методика-курса | Честная граница: «HoTT = язык (∞,1)-топоса» — программа, унивалентность — аксиома; доказана только локальная Thm 10.1.11 | сухая | нет | нет | нет | за-бортом | за-потолком | мат · ? · черновик | cep-univalentnost; pf-est-pi-tip
omega-otkrytye-mnozhestva | сцена | топология | логика | Возврат сцены «прямая минус точка», теперь с именем: истинностное значение = открытое множество, оттого логика интуиционистская | высокая-геометричная | новый-взгляд | К1 | перенос | за-бортом | за-потолком | мат · берёт · черновик | iskl-tretie-lomaetsya; heyting-vyrozhdennyj-ccc; omega-opredelenie; puchok-primer
puchok-primer | пример | топология | анализ | Минимальный пучок: F(U) = непрерывные вещественные функции на открытом U; отсюда же ответ «топос — от топологии» | средняя | незнакомый-объект | К2 | нет | за-бортом | за-потолком | мат · приручение · черновик | omega-otkrytye-mnozhestva; omega-opredelenie
effektivnyj-topos-obraz | затравка | информатика-и-типы | логика | Eff — вселенная, где всякая функция вычислима «потому что других там нет»; механизм — реализуемость по Клини, программа-свидетель | высокая-геометричная | незнакомый-объект | К1 | нет | за-бортом | за-потолком | нп · вне · seed | omega-opredelenie; omega-otkrytye-mnozhestva
mot-sloi-reshenija-sistemy | мотивация | линейная-алгебра | теория-категорий | Решения Ax=b расслаиваются над b, слой = x₀+ker A; «подставить b=Cy» и есть pullback. Прибор: «берём, узнаваемо» | высокая-геометричная | новый-взгляд | К2 | классиф | за-бортом | за-потолком | мат · берёт · черновик | mot-sloi-spektr; scena-podstanovka-tjanet-sloj; most-sloi-iz-proizvedenija; riehl-lccc-donor; mat-pervaya-kategoriya
mot-sloi-spektr | мотивация | линейная-алгебра | теория-категорий | V = ⊕_λ V_λ — семейство над базой-спектром, слой РАЗНОЙ размерности. Прибор: цепляет сильно, но лектор смысла не придаёт — блокер | высокая-геометричная | новый-взгляд | К2 | классиф | за-бортом | за-потолком | мат · берёт · seed | mot-sloi-reshenija-sistemy; lawvere-stacking-fibering
lawvere-stacking-fibering | находка | теория-множеств | комбинаторика | У Ловера слои рано (S5–6): stacking/sorting/fibering бытом; «число сечений = произведение размеров стопок»; язык слоёв, не мотивация | высокая-геометричная | новый-взгляд | К1 | счёт | за-бортом | за-потолком | нп · берёт · черновик | scena-podstanovka-tjanet-sloj; mot-sloi-reshenija-sistemy; riehl-lccc-donor; lawvere-medlennyj-tempo
yadro-est-uravnitel | утверждение | линейная-алгебра | теория-групп | ker φ = eq(φ,0): ядро в линале, у групп и у модулей — одна конструкция; в абелевой категории уравнители суть ядра | средняя | новый-взгляд | К2 | аналогия | универсальное-свойство | несёт-язык | мат · берёт · seed | uravnitel-opredelenie; sobstvennoe-est-uravnitel; pullback-podstanovka
sobstvennoe-est-uravnitel | утверждение | линейная-алгебра | — | Собственное подпространство $V_\lambda$ = eq(A, λ·id) = ker(A−λI); именно отдельное $V_\lambda$, не всё разложение | средняя | новый-взгляд | К1 | аналогия | универсальное-свойство | контекст | мат · ? · seed | uravnitel-opredelenie; yadro-est-uravnitel; predel-iz-proizvedenij-i-uravnitelej; mot-sloi-spektr
uravnitel-okruzhnost | пример | геометрия | — | Единичная окружность $x^2+y^2=1$ есть eq двух отображений ℝ²⇉ℝ: фигура, заданная уравнением, — это уравнитель | высокая-геометричная | новый-взгляд | К2 | аналогия | универсальное-свойство | контекст | мат · берёт · seed | uravnitel-opredelenie; vyhod-l4-reshat-est-predel; nepodvizhnye-tochki-uravnitel
nepodvizhnye-tochki-uravnitel | пример | анализ | топология | Множество неподвижных точек {x: f(x)=x} = eq(f, id) — уравнитель отображения и тождества | высокая-геометричная | новый-взгляд | К2 | аналогия | универсальное-свойство | контекст | мат · берёт · seed | uravnitel-opredelenie; uravnitel-okruzhnost; vyhod-l4-reshat-est-predel
pullback-join-dannye | пример | теория-множеств | прикладное | Расслоённое произведение в Set — пары с общим значением, то есть JOIN таблиц по ключу; вдоль двух произвольных отображений | средняя | новый-взгляд | К1 | аналогия | произведение | контекст | мат · берёт · seed | pullback-podstanovka; uravnitel-opredelenie
pullback-ogranichenie-rassloenia | пример | топология | геометрия | Ограничение расслоения f*E вдоль отображения (Мёбиус, накрытие ℝ→S¹) и прообраз открытого — это pullback | высокая-геометричная | незнакомый-объект | К2 | аналогия | за-бортом | за-потолком | мат · берёт/приручение · seed | pullback-podstanovka; pullback-join-dannye
slajs-primer-semejstva | пример | теория-множеств | линейная-алгебра | Set/X — X-индексированные семейства множеств; над каждым b свой слой A⁻¹(b). Это про слайс, не про сечение | средняя | нет | нет | нет | контекст-без-языка | за-потолком | мат · берёт · seed | slajs-kategoriya; mot-sloi-reshenija-sistemy; most-sloi-iz-proizvedenija
pushout-sklejka-opredelenie | понятие | топология | теория-категорий | Расслоенная сумма B⊔_A C — склейка двух объектов вдоль общей части A; дуал pullback, держать картинкой, не аппаратом | высокая-геометричная | незнакомый-объект | К2 | аналогия | двойственность | контекст | мат · берёт/приручение · seed | pullback-podstanovka; kopredel-opredelenie; kouravnitel-opredelenie; sklejka-tor-pushout
koyadro-est-kouravnitel | утверждение | теория-групп | линейная-алгебра | coker φ = coeq(φ,0): фактор-группа G/N, V/im, V/W — одна конструкция; в Ab коуравнитель есть коядро разности | средняя | новый-взгляд | К2 | аналогия | двойственность | несёт-язык | мат · берёт · seed | kouravnitel-opredelenie; yadro-est-uravnitel; zn-kouravnitel-teoriya-chisel; kopredel-opredelenie
zn-kouravnitel-teoriya-chisel | пример | теория-чисел | алгебра-общая | $\mathbb{Z}/n$ = coker(·n) — вычеты как копредел; в теории чисел ядро тривиально, а коядро богато: решать нечего, склеивать есть что | средняя | новый-взгляд | К2 | аналогия | двойственность | контекст | мат · берёт · seed | koyadro-est-kouravnitel; kouravnitel-opredelenie; atlas-kopredely-po-kategoriyam; vyhod-l4-reshat-i-skleivat
sklejka-tor-pushout | пример | топология | геометрия | Тор и бутылка Клейна из квадрата, сфера из двух дисков, букет S¹∨S¹ — всё это pushout; геометрия склейки наглядно | высокая-геометричная | новый-взгляд | К2 | аналогия | двойственность | контекст | мат · берёт/вне · seed | pushout-sklejka-opredelenie; pullback-ogranichenie-rassloenia; atlas-kopredely-po-kategoriyam
mot-zabytoe-otobrazhenie | находка | линейная-алгебра | методика-курса | Выхлоп, а не мотивация (вердикт прибора): зал уходит с пониманием, что такое матрица и как думать о ней бескоординатно | средняя | новый-взгляд | К2 | классиф | категория | несёт-язык | мат · берёт · черновик | mat-ne-nuzhna-zapis; mat-pervaya-kategoriya; kategoriya-opredelenie; kategoriya-pobochnyj-produkt; mot-obratimost-i-universum
mot-obratimost-i-universum | мотивация | алгебра-общая | линейная-алгебра | Обратимость зависит от того, где живёшь: 2 обратимо среди вещественных и нет среди целых; универсум приходится назвать | средняя | новый-взгляд | К1 | классиф | категория | несёт-язык | мат · берёт · черновик | lawvere-delenie-syrjo; mot-zabytoe-otobrazhenie; kategoriya-pobochnyj-produkt; pochemu-do-izo; lawvere-medlennyj-tempo
mot-otkuda-sigma | мотивация | линейная-алгебра | теория-категорий | Почему матрицы умножаются через $\sum_j a_{ij}b_{jk}$; ответ снизу: Σ — не определение, а следствие склейки смесей | средняя | новый-взгляд | К1 | классиф | за-бортом | за-потолком | мат · берёт · черновик | free-vect-monad; kleisli; scene-kleisli-sigma; monad; free-forgetful-vect; l8-tri-syuzheta-verdikt; mat-ne-nuzhna-zapis; mat-pervaya-kategoriya
yoneda-elementarnye-preobrazovaniya | пример | линейная-алгебра | теория-категорий | Элементарное преобразование строк = умножение на матрицу, и найти её — применить преобразование к единичной. Это лемма Йонеды | средняя | новый-взгляд | К1 | формализовать | ест.преобр | под-ревизией | мат · берёт · черновик | yoneda; cayley; scene-yoneda-probe; hom-functor; representable; l8-tri-syuzheta-verdikt; mat-pervaya-kategoriya
mot-gde-zhivet-vasha-logika | мотивация | логика | топология | Пруф-чекер и прямая с выколотой точкой дают одну и ту же логику; она не запрет, а описание какого-то места — какого | высокая-геометричная | новый-взгляд | К1 | аналогия | за-бортом | за-потолком | мат · берёт · черновик | iskl-tretie-lomaetsya; curry-howard-lambek; heyting-vyrozhdennyj-ccc; omega-otkrytye-mnozhestva; omega-opredelenie; omega-otkrytye-verifikaciya; effektivnyj-topos-obraz; chl
omega-otkrytye-verifikaciya | находка | логика | топология | Ω = открытые множества найдено дословно у Fong–Spivak, у Маклейна этого нет; названы три места, где обещаем больше доказанного | средняя | нет | нет | нет | за-бортом | за-потолком | мат · ? · черновик | omega-otkrytye-mnozhestva; iskl-tretie-lomaetsya; heyting-vyrozhdennyj-ccc; mot-gde-zhivet-vasha-logika; omega-opredelenie; puchok-primer; granica-hott-topos
eff-topos-verifikaciya | находка | логика | информатика-и-типы | В Eff эндоморфизмы N — ровно вычислимые функции, и не по запрету, а из требования свидетеля; ложно только слово «вселенная» | средняя | незнакомый-объект | нет | нет | за-бортом | за-потолком | мат · вне · seed | effektivnyj-topos-obraz; omega-opredelenie; mot-gde-zhivet-vasha-logika; granica-hott-topos
