# id	файл	заголовок	АДРЕС	ЦЕНА
I0022	KORPUS-2026-07-10_sborka-konvejera.md	Верификатор нашёл неточную формулировку границы base/grid в SPEC.md — реализация была верн	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_base-buffon.md#ОТЧЁТ, строки 209–215	НЕ НАЗВАНА
I0023	KORPUS-2026-07-10_sborka-konvejera.md	Пакеты 06-tekst и 09-illustracii по-прежнему зовут внешний скилл math-russian-terminology,	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_faza1-redesign.md#ОТЧЁТ, строки 112–113	НЕ НАЗВАНА («пакеты заперты... требует отдельной правки Фазы II»)
I0024	KORPUS-2026-07-10_sborka-konvejera.md	Свежий верификатор нашёл mojibake-порчу текста в двух PRIMERY.md после сборки пакетов 1–5	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_faza1.md#ОТЧЁТ, строки 124–126	список потерь: 2, обе — mojibake-порча текста («быть局альной»→«быть локальной», «на双угольни
I0025	KORPUS-2026-07-10_sborka-konvejera.md	Предпосылка ALGORITM.md §2 «общий base.css один и наследуется всеми деками» оказалась ложн	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_infra.md#ПЛАН, строки 62–73	обещанная ALGORITM выгода «одна правка на все деки» пер-дековым выносом НЕ достигается
I0026	KORPUS-2026-07-10_sborka-konvejera.md	DESIGN.md §5 называет плейсхолдеры {{BASE_CSS}}/{{GRID_CSS}}, которых реальный build_deck.	_studio/zhurnal/2026-07-10_sborka-konvejera/kod_infra.md#ПЛАН, строки 55–61	НЕ НАЗВАНА (расхождение обойдено добавлением опциональной загрузки, без описанного ущерба)
I0027	KORPUS-2026-07-11_fibonacci-kurs.md	Формат карточки не совпадает между STANDART/GEJTY/трекером — карточка по образцу не проход	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_kurs-avtonom.md#ОТЧЁТ, строка 142	карточка по образцу проваливает G2 на 1-м проходе
I0028	KORPUS-2026-07-11_fibonacci-kurs.md	`sostoyanie.py` сверяет дайджест по полной строке источника — гранулярная цитата ломает пр	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_kurs-avtonom.md#ОТЧЁТ, строка 143	НЕ НАЗВАНА
I0029	KORPUS-2026-07-11_fibonacci-kurs.md	Инициализация canvas-симуляции на скрытом слайде (display:none) — распространённая ловушка	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_kurs-avtonom.md#ОТЧЁТ, строка 144	НЕ НАЗВАНА
I0030	KORPUS-2026-07-11_fibonacci-kurs.md	Гейт G2 (порог «≥5 источников») не учитывает профиль ОТ-КНИГИ — порог пришлось ослаблять в	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_kurs-avtonom.md#ОТЧЁТ, строка 145	НЕ НАЗВАНА
I0031	KORPUS-2026-07-11_fibonacci-kurs.md	Шаг 3 proof-self-review (свежий рецензент) не был обязательным — без него верификатор пров	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_kurs-avtonom.md#ОТЧЁТ, строка 146	свежий рецензент поймал 2 реальные ошибки (иначе «сверено» = ложная уверенность)
I0032	KORPUS-2026-07-11_fibonacci-kurs.md	Заход сам «парковал» модели D,E,G («курсу не нужны»), что противоречило базовому правилу в	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 210	не сделаны 3 модели (D,E,G); владелец развернул план уже после того, как было собрано 5 мо
I0033	KORPUS-2026-07-11_fibonacci-kurs.md	Заход и docs/.../RESHENIYA.md описывали формат опорной точки как «Forum-цифра-номер на пол	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 211	НЕ НАЗВАНА
I0034	KORPUS-2026-07-11_fibonacci-kurs.md	Цвет опорной точки «Определение» нигде не задокументирован (закреплён только цвет «Задачи»	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 212	НЕ НАЗВАНА
I0035	KORPUS-2026-07-11_fibonacci-kurs.md	STANDART-canvas.md фиксировал «модель-носитель = полоска, показываем везде», что разошлось	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 213	владелец назвал получившуюся логику «ужасной»
I0036	KORPUS-2026-07-11_fibonacci-kurs.md	Ревью шло через статичные PNG-артефакты, а не через живой дек	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 215	владелец несколько раз писал «не кликается / не вижу картинки»; по итоговой оценке главная
I0037	KORPUS-2026-07-11_fibonacci-kurs.md	Контракт слайда-модели в заходе (3 сцены) разошёлся с STANDART-canvas.md (4 сцены, оканчив	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 217	биекция восстановлена только у 2 моделей из 3 (C и B), у F осталась не подцеплена
I0038	KORPUS-2026-07-11_fibonacci-kurs.md	Модели строились поверх старого дека без заранее спланированного финального роутера и спис	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 218	НЕ НАЗВАНА (в деке остались старые v1-слайды не в том порядке, потребовалась отдельная убо
I0039	KORPUS-2026-07-11_fibonacci-kurs.md	TEKSTY-L1.md даёт только определения для моделей D/E/G, но не полные тексты слайда (рекурр	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-modeli.md#ОТЧЁТ, строка 225	НЕ НАЗВАНА
I0040	KORPUS-2026-07-11_fibonacci-kurs.md	Заход не задал ветку явно, а репозиторий на старте уже стоял на branch `buffon-zahod-01`, 	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-pereverstka.md#ВОПРОСЫ, строка 127	НЕ НАЗВАНА
I0041	KORPUS-2026-07-11_fibonacci-kurs.md	`audit.py` (браузерный верификатор дека) не запустился — требует Playwright chromium, кото	_studio/zhurnal/2026-07-11_fibonacci-kurs/kod_lekcia1-pereverstka.md#ОТЧЁТ, строка 149	НЕ НАЗВАНА (пришлось полагаться на «глаз в браузере»)
I0042	KORPUS-2026-07-11_geometria-6-nagliadnaya.md	Во время прогона сторонний `git add -A` (параллельная сессия/автоматизация) закоммитил зак	_studio/zhurnal/2026-07-11_geometria-6-nagliadnaya/kod_reserch-geometria.md#ВОПРОСЫ, строка 83	ресёрч оказался разбит на два коммита (ранние файлы вперемешку с закрытием Фибоначчи, и хв
I0043	KORPUS-2026-07-11_reserch-zadach.md	Три из семи скачанных ШМК-источников оказались неполными демо-выдержками, а не полными кни	_studio/zhurnal/2026-07-11_reserch-zadach/kod_zapusk-korpusa.md#ОТЧЁТ, строка 72	скачаны с ashap.info, но оказались неполными демо-выдержками (только первое занятие + иног
I0044	KORPUS-2026-07-11_reserch-zadach.md	WebFetch не смог извлечь список подрубрик со страницы-обёртки «Кванта»	_studio/zhurnal/2026-07-11_reserch-zadach/kod_zapusk-korpusa.md#ОТЧЁТ, строка 76	точные под-URL 6 подрубрик «Графы» не вытянуты за один WebFetch, зафиксирован только корне
I0045	KORPUS-2026-07-11_reserch-zadach.md	Счётчики задач problems.ru разошлись со старой картой research_journal_v2.md	_studio/zhurnal/2026-07-11_reserch-zadach/kod_zapusk-korpusa.md#ОТЧЁТ, строка 88	НЕ НАЗВАНА (зафиксировано как расхождение, «не разбиралось дальше, нужен отдельный проход»
I0046	KORPUS-2026-07-16_teorkat-landshaft.md	Контракт отдал TERMINY-russkie.md исполнителю, а файл параллельно и вживую правил аналитик	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_riehl-lccc.md#ВОПРОСЫ, строка 115	посылка контракта «зоны не пересекаются» ложна для TERMINY — «пока не разведёте, будут гон
I0047	KORPUS-2026-07-16_teorkat-landshaft.md	Прошлый заход инструктировал ложную предпосылку про отсутствие топоса и экспоненты у Макле	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_riehl-lccc.md#ЗАДАНИЕ, строка 30	НЕ НАЗВАНА
I0048	KORPUS-2026-07-16_teorkat-landshaft.md	Проект держал ложное допущение, что у Маклейна нет топоса/экспоненты — опровергнуто чтение	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_vychitka-istochnikov.md#ОТЧЁТ, строка 192	меняет расчёт бюджета лекции 9 (финал) — путь короче, чем предполагалось волной 1, если со
I0049	KORPUS-2026-07-16_teorkat-landshaft.md	Лицензия Category Theory Illustrated (CC BY-NC) конфликтует с платным курсом — решение не 	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_vychitka-istochnikov.md#ВОПРОСЫ, строка 173	НЕ НАЗВАНА
I0050	KORPUS-2026-07-16_teorkat-landshaft.md	OCR-обработка scan-a (установка tesseract/ocrmypdf, ручной прогон) обесценена появлением л	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_vychitka-istochnikov.md#ОТЧЁТ, строки 256–266	НЕ НАЗВАНА (стоимость проделанной ранее OCR-работы не оценена явно)
I0051	KORPUS-2026-07-16_teorkat-landshaft.md	Третий скан Маклейна докачался в Downloads владельцем прямо во время инвентаризации, вне п	_studio/zhurnal/2026-07-16_teorkat-landshaft/kod_vychitka-istochnikov.md#ВОПРОСЫ, строка 176	три копии одного перевода Маклейна — избыточность в диске, не разгребал дальше без явного 
I0052	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Предупреждение о реальном git-инциденте: коммит не по явным путям утащил чужой staged-инде	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_biblioteka-vhodyashchee.md#ЗАДАНИЕ, строка 7	НЕ НАЗВАНА (только упоминание «реальный инцидент 2026-07-11», без раскрытия)
I0053	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Среда не смогла подключиться к archive.org, из-за чего вместо нужного издания (MIT Press, 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_biblioteka-vhodyashchee.md#ОТЧЁТ, строки 116, 165	~3.5 минуты на таймауты прежде чем переключиться на arXiv-зеркало
I0054	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Заход спроектирован с зоной, пересекающейся с уже идущим соседним заходом, из-за ложного у	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_biblioteka-vneshnyaya.md#ЗАДАНИЕ, строки 3–5	НЕ НАЗВАНА («ожидание было моей ленью, а не требованием канона» — без числа)
I0055	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Греп по PDF, доказывающий присутствие, но не отсутствие, уже стоил проекту целого захода	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_chego-net.md#ЗАДАНИЕ, строка 63	на этом проект уже потерял целый заход
I0056	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Субагент (haiku) по одному совпадению грепа приписал Пирсу комма-категории и presheaf-кате	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_chego-net.md#ОТЧЁТ, строка 135	НЕ НАЗВАНА (ошибка поймана и исправлена прямым чтением до сдачи)
I0057	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Предыдущий артефакт VNESHNYAYA-MERKA.md оказался неполнее источника: п.7 оксфордского силл	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_chego-net.md#ВОПРОСЫ, строка 117	НЕ НАЗВАНА
I0058	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Восемь внешних источников скачаны и влиты в библиотеку, но дайджестов у них не было — вклю	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_dajdzhesty-i-mit.md#ЗАДАНИЕ, строки 8–14	НЕ НАЗВАНА (констатация: «ноль упоминаний во всём проекте» для MIT, «никто не открывал» дл
I0059	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Повтор предупреждения «греп доказывает присутствие, но не отсутствие — на этом проект уже 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_dajdzhesty-i-mit.md#ЗАДАНИЕ, строка 67	на этом проект уже потерял целый заход
I0060	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Повторное упоминание прецедента с субагентом, приписавшим Пирсу категории запятой по одном	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_dajdzhesty-i-mit.md#ЗАДАНИЕ, строка 94	НЕ НАЗВАНА
I0061	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Все семь лекционных гейтов Л4 зелёные, а живой человек (владелец-лектор), прочитав материа	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_gejty-kursa.md#ЗАДАНИЕ, строки 6–10, 85	НЕ НАЗВАНА («механика сказала ✅, живой человек сказал «а что здесь вообще?»»)
I0062	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Гейт «≥1 понятие и ≥1 утверждение» (счёт родов карточек) ложно-зелёный на Л5 и Л9: их един	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_gejty-kursa.md#ЗАДАНИЕ, строка 83	НЕ НАЗВАНА
I0063	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Гейт «степень связности в графе ≥5» ложно-красный на Л6, хотя внешняя мерка называет Л6 са	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_gejty-kursa.md#ЗАДАНИЕ, строка 84	НЕ НАЗВАНА
I0064	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Пре-коммит хук лессонов глобальный: проверяет весь UROKI-FABRIKE.md при любом коммите — не	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_gejty-kursa.md#УРОКИ ФАБРИКЕ, строки 156–158	один обход `--no-verify` на точке отката; пока в общем `UROKI-FABRIKE.md` лежит недописанн
I0065	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Изолированный верификатор нашёл устаревшее ребро Л8∈{arifmetika} в KARTA-OBLASTI.md — нить	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_gejty-kursa.md#ОТЧЁТ, строка 225	НЕ НАЗВАНА (гейт-вердикт G-C формально не переворачивается, но «число «Л8=3» частично на ф
I0066	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Карточка `chl` числится в строке Л8 роутера SPEKA §Слой 2, но по всем связям и по собствен	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_karta-lekciy-8.md#ВОПРОСЫ, строка 173	НЕ НАЗВАНА
I0067	KORPUS-2026-07-16_teorkat-programma-dizajn.md	SPEKA.md (истина проекта) содержит устаревшее утверждение «три лекции не имеют карточки ро	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_karta-lekciy-8.md#ВОПРОСЫ, строка 175	НЕ НАЗВАНА
I0068	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Повторное упоминание прецедента с субагентом, приписавшим Пирсу категории запятой по одном	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_karta-lekciy-8.md#ЗАДАНИЕ, строка 113	НЕ НАЗВАНА
I0069	KORPUS-2026-07-16_teorkat-programma-dizajn.md	`check_kartoteka.py` не метит статус seed у карточек рода «пример» — слепое пятно скрипта,	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_karta-lekciy-8.md#ОТЧЁТ, строка 215	НЕ НАЗВАНА
I0070	KORPUS-2026-07-16_teorkat-programma-dizajn.md	`sostoyanie_lekcii.py` читало статус «ЧАСТИЧНО» как ✅ для гейта 5 на Л1 — исполнитель пойм	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_karta-lekciy-8.md#ОТЧЁТ, строка 208	НЕ НАЗВАНА
I0071	KORPUS-2026-07-16_teorkat-programma-dizajn.md	grep=0 в PDF-корпусе принят волной за доказательство отсутствия — записано «у Ловера NNO н	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_khl-kontent.md#ЗАДАНИЕ, строка 40	волна записала «у Ловера NNO нет» по `грep = 0` — ложь, предмет есть в Part III
I0072	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Вердикт «дыр не найдено» прошлой арки на деле означал охват 2 лекций из 9, но читался как 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_khl-kontent.md#ЗАДАНИЕ, строка 100	цена клаузы заплачена на этой арке: вердикт «дыр не найдено» на деле означал «проверено 2 
I0073	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Контракт зоны «git add X → git commit» на общей ветке сработал как bare-commit и забрал в 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_khl-kontent.md#УРОКИ ФАБРИКЕ, строки 129–131	один неверный коммит (3 файла вместо 1), откат `git reset --soft HEAD~1` + перекоммит с pa
I0074	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Разведчик-субагент выдал оглавление (TOC) главы за постраничное чтение PDF и добавил в дис	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_l4-l5-programma.md#УРОКИ ФАБРИКЕ, строки 77–79	одна фабрикация цитаты + один overclaim «постранично» дошли до артефакта; поймал их только
I0075	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Критерий готовности обещал снятие обоих гейтов check_kurs.py (G-A и G-B), но card-set из т	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_l4-l5-vlivanie.md#УРОКИ ФАБРИКЕ, строки 62–64	гейт красный законно; стоимость — только неточность формулировки критерия готовности в зах
I0076	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Аналитик сочинил мотивацию экспоненты («сделать стрелки объектом»), не проверив картотеку 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_l4-motivaciya.md#ЗАДАНИЕ, строки 47–48	владелец разбил её за пять минут («вопрос, которого нет ни у кого в зале»), а готовая моти
I0077	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Аналитик снова сочинил мотивацию (двойственность кванторов ∃/∀) для слоёв и построил на не	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_l4-motivaciya.md#ЗАДАНИЕ, строки 49–50	предшественник пометил опорную карточку `motivation-adjoint-everywhere` как «чистый круг»
I0078	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Аналитик исключил kartoteka/** из зоны предыдущего захода и отправил искать «молчаливые оп	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_molchalivye-opory.md#ЗАДАНИЕ, строки 7–9	§2.3 — самую ценную часть — выполнил на 2 лекциях из 9
I0079	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Критерий готовности №3 в буквальном чтении объявил бы дырой любое понятие, введённое и исп	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_molchalivye-opory.md#ВОПРОСЫ, строка 178	НЕ НАЗВАНА (если скрипт приёмки читает критерий буквально, покраснеет на 12 строках правил
I0080	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Аналитик трижды сочинял мотивацию вместо чтения картотеки, и трижды её убивал живой прибор	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_motivacii-l1-l8-l9.md#ЗАДАНИЕ, строки 45–58	провал №1 — владелец разбил за пять минут; провал №2 — опорная карточка помечена «чистый к
I0081	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Оригинал Хайленда 1982 не прочитан из-за TLS-ошибки при обращении к dpmms.cam.ac.uk, второ	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_motivacii-l1-l8-l9.md#ВОПРОСЫ, строка 148	вердикт по эффективному топосу стоит на качественных вторичных источниках, финал курса «не
I0082	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Два субагента волны 2 умерли на обрыве соединения; один довосстановлен, второй остановлен 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_motivacii-l1-l8-l9.md#ОТЧЁТ, строка 336	у первого потерялась только финальная реплика, у второго работа отменена и не запускалась 
I0083	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Заход содержал ложную предпосылку о месте карточки в источнике: «фундаментальный группоид 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_motivacii-l1-l8-l9.md#ОТЧЁТ, строка 299	НЕ НАЗВАНА
I0084	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Собственный верификатор исполнителя содержал баг (вычищал бэктики из всей шапки, включая п	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_motivacii-l1-l8-l9.md#ОТЧЁТ, строка 295	НЕ НАЗВАНА (баг починен до сдачи)
I0085	KORPUS-2026-07-16_teorkat-programma-dizajn.md	OCR русского Маклейна ломает греческие буквы («π(X)» → «7г(Х)»), греп по «π» молча возвращ	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_nno-i-shkolnye-opory.md#ЗАДАНИЕ, строка 27	мина, на которой погорели три захода
I0086	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Дайджест волны 1 честно зафиксировал грep=0 по «natural numbers object» у Ловера и сделал 	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_nno-i-shkolnye-opory.md#ОТЧЁТ, строки 181–182	вывод оказался ложным и стоил проекта захода
I0087	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Карточка `nno-prodolzhenie` указывала неверный источник («Ловер–Шануэль Part IV» вместо ре	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_nno-i-shkolnye-opory.md#ОТЧЁТ, строка 192	ошибка работала в пользу «NNO дорогой» — отсылала на 30 страниц позже реального места
I0088	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Аналитик указал на удалённый файл (`L4-motivaciya.md`) как на живой источник, хотя тот уже	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_shov-l4-l5.md#ЗАДАНИЕ, строки 12–16	гейт входа поймал; шестой дефектный вход подряд
I0089	KORPUS-2026-07-16_teorkat-programma-dizajn.md	Грep=0 по PDF-корпусу принят за доказательство отсутствия — записано «у Ловера NNO нет», х	_studio/zhurnal/2026-07-16_teorkat-programma-dizajn/kod_shov-l4-l5.md#ЗАДАНИЕ, строка 46	цена уже заплачена: волна записала «у Ловера NNO нет» — ложь, предмет есть в Part III
