# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0012	teorkat-vvedenie/repeticia/akt-1-razbor.md	Фразы, в которых нет русского смысла, не соответствуют стилистике	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 106–108	текст	замечание	вот доказать понятно такой фразы не должно быть, это непонятно, тут как-то на нее нет смысла русского, это просто не соответствует стилистике.
V0013	teorkat-vvedenie/repeticia/akt-1-razbor.md	Служебный комментарий для меня самого на слайде — это просто ужас	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 124–134	визуал	замечание	Значит, что здесь не нужно? Во-первых, в листок левый столбец при n=3, n=4. Ну, куда это взялось здесь? Ну, это просто ужас! Естественно, это не должно быть на слайдах. Ну, зачем на слайдах? Это же комментарий для меня. Какой-то служебный комментарий для меня про то, что поместить в листок. Листка ещё, может, вообще не будет. Убираем.
V0014	teorkat-vvedenie/repeticia/akt-1-razbor.md	Здесь очень мало содержания — надо переписать	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 134–138	текст	замечание	Ну, или, в общем, то есть, переписываем. Надо переписать. В принципе, здесь очень мало содержания.
V0015	teorkat-vvedenie/repeticia/akt-1-razbor.md	Термин надо согласовать со мной явно, а не вводить молча	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 140–142	процедура	замечание	Давай мы это просто согласуем с тобой полностью этот термин. Или не согласуем, не знаю.
V0016	teorkat-vvedenie/repeticia/akt-1-razbor.md	В правильной стилистике это укладывается в две-три фразы	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 144–148	текст	замечание	В правильной стилистике, там, двумя-тремя фразами, что, как бы, что, значит, мы требуем именно, то есть, доказательства бывают разные: через формулу, по индукции, через бином Ньютона.
V0017	teorkat-vvedenie/repeticia/akt-1-razbor.md	То, что записывается символами, надо писать символами, а не проговаривать словами	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 3 — [12:46], слайд: дек 3 — «Семь тождеств», строки 152–154	текст	замечание	Ну, только надо не равенство мощностей сказать, а вот чем символами записать. Такая идея.
V0018	teorkat-vvedenie/repeticia/akt-1-razbor.md	Я хотел тут поспрашивать зал, какие могут быть идеи	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 160–164	структура лекции	замечание	рассказывать, честно говоря. Я хотел тут поспрашивать, какие могут быть идеи. Что в этом биекции красиво, почему оно красиво и так далее.
V0019	teorkat-vvedenie/repeticia/akt-1-razbor.md	Оборотов, которых нет в русском языке, на слайде быть не должно	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 164–168	текст	замечание	Значит, что здесь плохо в тексте? Ну, плохо в тексте всё. Одно тождество до дна - это жуткость. Что до дна? До дна - это пить до дна можно. Ну, так не говорят по-русски.
V0020	teorkat-vvedenie/repeticia/akt-1-razbor.md	Заголовок должен быть простым: «Разберём пример»	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 168–170	текст	спорное	До дна. Разберём тождество просто. Разберём. Разберём пример.
V0021	teorkat-vvedenie/repeticia/akt-1-razbor.md	Множество оформляется так: фраза, двоеточие, и с новой строки сама конструкция	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 172–184	визуал	спорное	Ну, так нельзя. Если ты хочешь описать это как множество элементов, которые ты считаешь слева, вот таким образом, как ты это описал, это можно сделать, но делается это так: мы пишем: сумма слева - это количество элементов в множестве. Двоеточие. И с новой строки выносишь вот это вот
V0022	teorkat-vvedenie/repeticia/akt-1-razbor.md	Объект вводится отдельной фразой ДО формулы, за пределами определения	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 188–192	текст	замечание	Еще нужно сказать, что в U, как бы за пределами этого вынести, за пределы этого определения, что U - это множество из N элементов. Рассмотрим множество из N элементов U, тогда слева написана сумма
V0023	teorkat-vvedenie/repeticia/akt-1-razbor.md	Пример слишком очевидный — наверное, все понимают, как это сделать	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 196–202	структура лекции	замечание	честно говоря, я бы разобрал бы пример другой, вообще, потому что в таком же стиле, это слишком очевидный все-таки пример, это, наверное, все понимают, как это сделать.
V0024	teorkat-vvedenie/repeticia/akt-1-razbor.md	В любом случае я сначала спрошу зал, как это доказывать	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 204–208	структура лекции	замечание	В любом случае, я спрошу их сначала, как это доказывать, да, кто-нибудь это скажет, вот.
V0025	teorkat-vvedenie/repeticia/akt-1-razbor.md	Достаточно картинки — таких вещей мы не делаем; и система сцен здесь неправильная	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 208–216	визуал	замечание	у тебя фраза биекция, двоеточие, F равняется 2, вот, значит, не нужно это, вообще не нужно, ой, это вообще не нужно, мы такие вещи не делаем, смотри, нужно достаточно картинки, то есть у тебя просто должна картинка появляться не сразу, естественно, то есть система сцен еще здесь неправильная.
V0026	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок сцен: сперва задача (ответ можно заблюрить), потом вопрос залу, потом картинка объясняет всё	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 216–228	структура лекции	замечание	Сначала мы говорим: докажите тождество, причем даже можно не писать, что это, ну, пусть, можно даже заблюрить, что это 3 в степени N. После этого мы спрашиваем, как это понять, я спрашиваю людей, что это такое, как это понять комбинаторно, они предлагают, я пишу … и дальше картинка объясняет сразу, что делать.
V0027	teorkat-vvedenie/repeticia/akt-1-razbor.md	Любой пример должен выглядеть примером общего положения	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 230–236	визуал	замечание	Ну, картинка трэшовая, прости. Почему она трэшовая? Она трэшовая, потому что здесь ты почему-то сделал равное число элементов везде, а это самое непонятное, неплохое для любого примера. Любой пример должен быть, выглядеть общего положения.
V0028	teorkat-vvedenie/repeticia/akt-1-razbor.md	Форму контейнера на рисунке брать похитрее — не 4, а, например, 2 на 4	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 236–240	визуал	спорное	если ты выбрал 6 элементов, хотя можно было бы сделать коробку более хитрую какую-нибудь. Я бы сделал коробку там, ну, типа не 4, а там, например, 2 на 4. Да, это можно как-то хитрее сделать.
V0029	teorkat-vvedenie/repeticia/akt-1-razbor.md	Количества на рисунке должны быть разными — 2 чёрных, 1 красная, 3 белых	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 240–242	визуал	замечание	Ну, если ты хочешь такую картинку, окей, но тогда ты сделай хотя бы, чтобы в одном было 2, ну, чтобы черных 2 точки, красных 1, например, белых 3. Сделай так хотя бы.
V0030	teorkat-vvedenie/repeticia/akt-1-razbor.md	Есть закон: мы не делаем подписи на рисунках — и он тут грубо нарушен	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 244–248	визуал	замечание	Вторая вещь. Ну, тут ты нарушил грубо, как бы, закон. Закон говорит следующее, что, значит, мы не делаем подписи на рисунках.
V0031	teorkat-vvedenie/repeticia/akt-1-razbor.md	Исключение из закона о подписях — коммутативные диаграммы, тут ничего не поделаешь	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 246–248	визуал	замечание	Понятно, что в нашей лекции на коммутативных диаграммах придется делать подписи. Вот. Это, как бы, естественно. Тут ничего не поделаешь.
V0032	teorkat-vvedenie/repeticia/akt-1-razbor.md	Обозначения множеств не подписываем — числа нужны, больше ничего не нужно	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 250–250	визуал	замечание	мы не подписываем. Это не нужно для иллюстрации. 2 и 1 нужно. Больше ничего не нужно.
V0033	teorkat-vvedenie/repeticia/akt-1-razbor.md	Вот это — максимум того, что нужно на рисунке	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 252–254	визуал	спорное	Вот и все. Вот и все. Вот. То есть, ну, да. Вот. Это вот, вот это максимум, что нужно.
V0034	teorkat-vvedenie/repeticia/akt-1-razbor.md	Картинка объясняет полностью — текста не нужно, никто текст не будет читать	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 254–260	визуал	замечание	Так, картинка хорошая. Она полностью объясняет биекцию. Наверное, мы дальше будем с таким часто сталкиваться … Не нужно текст. Никто текст не будет читать.
V0035	teorkat-vvedenie/repeticia/akt-1-razbor.md	То, что дублирует картинку словами, просто выкинуть	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 260–262	текст	замечание	Вот биекция, обратно, S. Выкини это просто. Это не нужно на слайдах.
V0036	teorkat-vvedenie/repeticia/akt-1-razbor.md	«F читается» — так по-русски не говорят; надо «F определяется»	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 262–268	текст	замечание	Теперь вот то, что ты пишешь. F читается по первому признаку. Но, опять, во-первых, так не по-русски не говорят. F читается. Вот. F определяется.
V0037	teorkat-vvedenie/repeticia/akt-1-razbor.md	Уроки по стилистике у нас записаны — и там сказано, что так говорить нельзя	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 266–270	процедура	замечание	И у нас таки есть уроки, записаны они в, мне кажется, в нашем, совершенно точно, везде в стилистике, что так нельзя говорить.
V0038	teorkat-vvedenie/repeticia/akt-1-razbor.md	Свойства не излагаем — задаём вопрос в зал, люди сами назовут	teorkat-vvedenie/repeticia/akt-1-razbor.md#Комментарий 4 — [21:11], слайд: дек 4 — разбор примера, строки 270–278	структура лекции	замечание	Важно спросить: а какие свойства хорошие у этой биекции есть? Какие у этой биекции есть хорошие свойства? Вот. И все. Это просто вопрос в зал. И люди сами назовут, что про них можно сказать. И дальше мы перейдем к следующему слайду.
V0039	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Лекция кончилась за 50 минут вместо запланированных 90	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 8–10	структура лекции	замечание	ГЛАВНОЕ: лекция кончилась за 50 минут вместо 90 … Начали на 10 минут позже, отговорили примерно 50 минут, с Серпинским и Паскалем — около часа.
V0040	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	50 минут — это ещё оценка сверху: он ускорился и перестал задавать вопросы в зал	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 11–12	структура лекции	замечание	Владелец при этом ускорился и в какой-то момент перестал задавать вопросы в зал, то есть 50 минут — оценка сверху для нынешнего содержания, а не снизу.
V0041	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Мерить габарит числом слайдов и сцен нельзя: сцена = одно утверждение, а не разобранный пример	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 14–17	процедура	замечание	ПЕРЕСКАЗ: Габарит сверялся по числу слайдов и сцен с эталоном buffon/, и по этой мерке сошёлся. Но сцена сцене рознь: у нас сцена — это чаще всего одно утверждение, а не разобранный пример. Лекция вышла тезисной: формулы названы, но не прожиты на числах.
V0042	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Сначала конкретное число или картинка, потом общая формула — всегда	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 21–23	структура лекции	замечание	Сначала конкретное число или картинка, потом общая формула. Всегда.
V0043	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Слайдов можно и нужно больше; не помещается — заводим новый	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 25–26	структура лекции	замечание	Слайдов можно и нужно больше. Если от правок что-то перестаёт помещаться — заводим новый слайд, это не проблема. Времени с запасом.
V0044	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Канвасов должно быть больше: интерактив дешевле анимации и работает лучше статики	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#0. ГЛАВНОЕ, строки 28–29	визуал	замечание	Канвасов должно быть больше. Интерактив, где зал сам щёлкает и смотрит, дешевле в производстве, чем выверенная анимация, и работает лучше статики. Где можно — делаем канвас.
V0045	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Букву в постановке заменить конкретным числом — спрашиваем про 100 шагов	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 35–36	текст	спорное	в постановке — убрать. Спрашиваем про 100 шагов, конкретное число.
V0046	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Соглашение, которым пользуется вся лекция, установить на первом же слайде	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 37–39	структура лекции	спорное	установить на первом же слайде. Сейчас её нет нигде в тексте, а дальше вся лекция ей пользуется.
V0047	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Говорить на том языке, на котором дальше всё считается	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 40–41	текст	спорное	Это язык, на котором считается всё остальное.
V0048	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Знак суммы не использовать — для школьника это барьер	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 42–44	математика	замечание	по возможности не использовать — для школьника это барьер. Писать выражение через троеточия: видно, с чего начинается и чем кончается.
V0049	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Следить, чтобы строки не переносились и ничего не вылезало	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 45–46	визуал	замечание	Следить, чтобы строки не переносились и ничего не вылезало. Лечится сокращением текста и правильным выбором раскладки (горизонтальная полоса против вертикальной).
V0050	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Служебные метки — символом, без нумерации словами	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строки 47–48	визуал	спорное	Достаточно символа ножниц, при желании с подписью «по последнему шагу».
V0051	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Дроби набирать TeX-ом, а не текстом	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#1. Сквозные правки, строка 49	визуал	замечание	Дроби набирать TeX-ом, аккуратными маленькими дробями, а не текстом вида
V0052	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	В тексте задачи — конкретное число шагов, а не буква	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строка 56	текст	спорное	продержится 100 шагов
V0053	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Два действия на картинке запускать последовательно, а не одновременно	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строка 61	визуал	спорное	Два действия, запускаются последовательно, а не одновременно
V0054	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Интерактив с кнопкой и случайным прогоном: каждый запуск даёт другой исход	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строки 63–66	визуал	спорное	Запускается кнопкой, каждый прогон случайный: одни кончаются падением, другие нет.
V0055	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Сначала зал видит явление, потом — что его можно нарисовать	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строки 67–68	структура лекции	замечание	Зал сначала видит движение, потом видит, что движение можно нарисовать.
V0056	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Заголовок-вопрос с конкретными шагами — хороший, оставить	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 82–83	текст	спорное	хороший, оставить. Всё остальное переделывается.
V0057	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Фразу, которая ничего не даёт, — убрать	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строка 86	текст	спорное	фраза ничего не даёт
V0058	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Отсутствие вопроса к залу на слайде — брак	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 87–89	процедура	замечание	и его отсутствие на слайде — брак
V0059	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Картинка должна заполняться постепенно, а не появляться целиком	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строка 93	визуал	замечание	Два яруса, оба заполняются постепенно, а не появляются целиком.
V0060	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Смысл в том, чтобы открывать вместе с залом, а не показывать заполненную таблицу	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 99–101	визуал	замечание	В этом и смысл — открывать вместе с залом, а не показывать заполненную таблицу.
V0061	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Общее правило показывать на живой таблице, а не отдельно от неё	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 102–106	визуал	замечание	правило должно быть показано на живой таблице, а не отдельно от неё
V0062	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Пропорции картинки подобрать так, чтобы тексту досталось больше места	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 109–110	визуал	спорное	уже по ширине и вытянутее по вертикали, довести до 7–8 шага, а не до 4–5. Тогда правая полоса становится уже, и тексту достаётся больше места.
V0063	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	«Так не говорят, это не наша стилистика»	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 117	текст	замечание	Так не говорят, это не наша стилистика.
V0064	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Вместо утверждения — вопрос с конкретными числами	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 118	текст	спорное	Сколькими способами можно попасть в точку 3 за 8 шагов?
V0065	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Главное непонятое место лекции надо проговорить отдельно и написать явно	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строки 121–124	структура лекции	замечание	Проговорить отдельно, это главное непонятое место лекции. … Написать это с символом вероятности, явно.
V0066	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Термин не должен уезжать на следующую строку	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 128	визуал	замечание	уезжает на следующую строку — не должно
V0067	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Формулировку, о которой непонятно, что имеется в виду, — вычеркнуть	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 129	текст	замечание	вычеркнуть, непонятно, что имеется в виду
