# id	ЧИСЛО	АДРЕС	ЦИТАТА
V0002	27 минут репетиции на 4 слайда — темп прохода дека	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 38–38	запись уже, к сожалению, 27 минут, хотя мы всего на четвертом слайде
V0052	100 шагов вместо $2n$	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строка 56	продержится 100 шагов
V0053	два действия	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#2. S2 · Пьяница у обрыва, строка 61	Два действия, запускаются последовательно, а не одновременно
V0058	5 шагов, затем 10 — конкретные числа в вопросе к залу	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 87–89	и его отсутствие на слайде — брак
V0062	довести до 7–8 шага вместо 4–5	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#3. S3 · Столбцы, строки 109–110	уже по ширине и вытянутее по вертикали, довести до 7–8 шага, а не до 4–5. Тогда правая полоса становится уже, и тексту достаётся больше места.
V0064	точка 3 за 8 шагов	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 118	Сколькими способами можно попасть в точку 3 за 8 шагов?
V0070	один слайд разбивается на три	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5. S5 · Облики, строка 144	На один слайд не влезают ни биекция, ни вывод формулы. Владелец: делаем три.
V0072	три действия сразу / три облика	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5A. Три облика, строки 151–154	Один и тот же исход в трёх обликах, на глазах.
V0081	по 10 монет на игрока; вопрос 7 бота	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#6. S6 · Разрез по центру, строки 196–197	потерялась. Вернуть, она интересная
V0093	три слова плюс пять слов дают восемь (проверка на $F_4$)	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#8B. Разрез, строки 235–238	Сначала проверить на конкретном числе. … и прямо показать биекцию: слова, возникшие на двух предыдущих шагах, дают слова текущего.
V0096	два слайда сжаты в один	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#9. S9 · Домики → ДВА СЛАЙДА, строки 267–268	*Замечание владельца: здесь, как и с Фибоначчи, «просто сэкономлено» — два слайда сжаты
V0101	начинать с $2n=0$, потом 2, 4, 6 (вместо $2n=4$)	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#10. S10 · Пьяница возвращается, строки 276–276	**Начинать не с $2n=4$, а с $2n=0$**, потом 2, 4, 6 — и выписывать, строя большую табличку.
V0102	выписывать пути для 2, 6, 20; 70 не выписывать	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#10. S10 · Пьяница возвращается, строки 280–280	**Выписать пути** для 2, 6 и 20 (70 выписывать не будем)
V0116	одно разрешённое место для буквы $n$ на всю лекцию	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.2. Числа вместо букв — жёсткое правило, строки 385–386	**$n$ запрещено везде, кроме одного места** — универсальной формулы для биномиального … Во всех остальных местах — конкретные числа.
V0117	100 шагов	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.2. Числа вместо букв — жёсткое правило, строки 383–384	**Начинаем со 100 шагов.** Именно это потом **обосновывает работу с чётными**: задача
V0118	10 бросков против 100	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.2. Числа вместо букв — жёсткое правило, строки 387–388	**Фибоначчи тоже начинаем с конкретного:** «с какой вероятностью, бросив монетку 10 раз, … Число поменьше, чем 100.
V0119	последний слайд — единственное место для общего случая	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.2. Числа вместо букв — жёсткое правило, строки 390–390	**В самом конце, последним слайдом**, сказать: а если бы шагов было не 100, а $2n$, вышло
V0120	20–22 слайда на лекцию	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.3. Объём, строки 395–395	Слайдов — **до 20–22, допустимо любое разумное количество**, лишь бы было понятно.
V0125	8 слов слева, 5 и 3 справа	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.5. Фибоначчи — что брать из проекта `fibonacci/`, строки 416	слева выписаны **все 8 слов**; … справа — **5 слов и 3 слова** отдельными группами;
V0127	10 строк треугольника — предел читаемости	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.6. S7 — канвас суммы квадратов, строки 426–426	Треугольник **до 10-й строки** (дальше вопрос шрифта).
V0134	шесть первых слагаемых вместо трёх	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.8. Телескоп — как писать, строки 453–454	в скобках первые два слагаемых с разностью, потом следующие два, потом ещё два — … **шесть первых слагаемых, а не три**;
V0135	две последние скобки	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#16.8. Телескоп — как писать, строки 456–457	**последние слагаемые тоже выписать, и последних скобок должно быть ДВЕ** — чтобы было
V0140	две строки на финальном слайде	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#17.2. Нечётная длина — формула другая, чем прозвучала, строки 5	но её и просили не … показывать школьникам. На финальном слайде честнее двумя строками: для чётной длины так,
V0143	10 шагов в выкладках, 100 в постановке и финале	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#17.5. Рабочее число второй половины — 10, строки 545–546	Все выкладки второй половины на 10 шагах. 100 остаётся в постановке и в финале, и переход
V0144	две картинки вместо одной	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#17.6. Задача про дежурных — какие связи важны, строки 555–557	**И то, и другое нужно,** потому что дают два разных способа заполнять треугольник … Обе картинки рисуем, обе
V0145	один рисунок вместо двух	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#17.7. Первый слайд — один рисунок, две фазы, строки 561–561	Не два рисунка рядом, а **один, растущий**:
V0146	12 вопросов, проверяемых поимённо перед сборкой	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#17.8. Новое сквозное требование, строки 569–571	**Все 12 вопросов из `VOPROSY-bot.md` должны быть отражены в лекции** — не только те, … Перед сборкой проверить поимённо, что для каждого вопроса
V0177	слайд оказался 19-м вместо места после 16-го	_studio/zhurnal/2026-07-28_konspekt-l1/PRAVKI-final.md#14. 🔴 ПОПРАВКА к §12: слайд Эйленберга–Маклейна НЕ пропал — он стоит 19-м, строки 124–124	«я нашёл про Эйленберга–Маклейна слайд, он 19-й, он должен был встать раньше. Он не встал туда»
V0187	остаётся 1 картинка из 3	_studio/zhurnal/2026-07-28_konspekt-l1/PRAVKI-final.md#17. Слайд 20 — «Есть ли естественный изоморфизм?», строки 160–160	первая и вторая сверху — **убрать**; оставить **только самую нижнюю, по центру**.
V0194	одна сцена вместо двух	_studio/zhurnal/2026-07-28_konspekt-l1/PRAVKI-final.md#21. 🔴 ЧАСТЬ 4, СЛАЙДЫ 26–29 — ПОМЕНЯТЬ ПОРЯДОК 26 ↔ 27 и починить сцены, строки 191–192	**Порядок внутри перевёрнут неправильно:** сейчас на первой сцене доказательство, на второй определение. **Должно быть наоборот.** … **Сделать ОДНУ сцену:** **определение сверху, доказательство снизу.**
V0202	три пункта из восьми не сделаны из-за неадресуемости	_studio/zhurnal/2026-07-28_konspekt-l1/PRAVKI-final.md#🔴🔴 АДРЕСАЦИЯ ПО ЗАГОЛОВКАМ — единственный надёжный адрес, строки 224–224	«три пункта из восьми не сделаны не по времени, а потому что цель не адресуется… правки записывать заголовком слайда (он живёт) рядом с номером (он умирает)»
V0211	полминуты на размышление над вопросом	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/PRAVKI-sceny-i-animacii.md#Главное правило, из которого всё следует, строки 9–9	Слушатель отвечает в бот **во время лекции**, на размышление полминуты.
V0212	вдвое больше слайдов — цена дробления	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/PRAVKI-sceny-i-animacii.md#Главное правило, из которого всё следует, строки 21–21	Дробить слайды под каждый вопрос нельзя — их станет вдвое больше.
V0213	3 вопроса на S3, по 2 на S5 и S7	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/PRAVKI-sceny-i-animacii.md#Карта: вопрос → слайд → что скрыть, строки 40–41	**S3 несёт три вопроса подряд** — это самый нагруженный слайд лекции. … **S5 и S7 несут по два.**
V0214	шесть сцен на слайд — порог «много»	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/PRAVKI-sceny-i-animacii.md#Что меняется в сценах, строки 56–57	Шесть сцен на слайд — много, но текста там мало, а лектор на этом слайде трижды … Не влезет — резать на два слайда по границе
V0220	три статичных кадра вместо движения	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/PRAVKI-sceny-i-animacii.md#Анимации — где они несут смысл, строки 89–90	Сейчас три статичных кадра; переворот в движении — тот случай, когда анимация … и есть доказательство.
V0224	32 слайда всего, 8 слайдов в среднем на раздел	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 41–43	«мы обсуждали, что вот их там 32 слайда, то есть **условно на раздел в среднем 8 слайдов** … получается. **Это число взято не просто так.** То есть этот слайд — это действительно **одна
V0226	минута на экран текста	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 47–48	естественно, бессмысленно — показывать текст размером с весь экран и тратить на это минуту.
V0227	7–8 слайдов = 7–8 экранов	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 50–51	«если мы говорим, что там 7 слайдов или 8, **это должно быть реально 7–8 экранов**»
V0229	5 сцен → 10 минут вместо 5	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 59–60	«если у тебя таких сцен, которые полный экран занимают полностью, их там, ну там, не знаю,
V0230	2 часа, 32 слайда, 4 минуты → допустим 3–3,5 минуты на слайд	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 60–63	**5 штук, то это не будет 5 минут, это будет 10 минут, то есть это не попадает в тайминг наш … вообще**. У нас довольно жёсткий тайминг, у нас действительно есть тут вот условно **2 часа,
V0231	3,5 минуты на слайд = один экран	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 62–63	32 слайда — это значит, что 4 минуты на слайд, меньше… допустим, три минуты, ну, примерно, … три с половиной минуты на слайд. Это значит ОДИН ЭКРАН**»
V0232	три сцены на одном слайде	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 74–75	«вот это пример как раз, где **три сцены разворачиваются на одном и том же слайде, потому что … у них заголовок одинаковый**»
V0233	три экрана	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 76–78	«один слайд должен быть про группы, где в нескольких итерациях разворачивается история… … сначала про раскраски, про инъекции, потом про группы, потом общий случай. **Это три экрана**»
V0234	10 примеров ≈ 3,5 минуты ≈ один экран	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 85–87	«если у тебя есть слайд, который ты считаешь, что его можно рассказать, условно, я говорю, … **за три с половиной минуты, и на нём просто 10 примеров разных категорий, то его и можно … поместить на один слайд**. И мы это
V0235	один экран	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 91–92	«как поместить это в один экран? **По-моему, вообще нет проблем.** Мы, главное, это обсуждали»
V0237	32 слайда	teorkat-vvedenie/repeticia/PRAVKI.md#ТЗ целиком, сформулированное в акте 6, строки 101–102	«В чём задача? **Задача — сделать 32 слайда в идеале.** Мне кажется, это получится. 32 слайда,
V0238	32 слайда — максимум	teorkat-vvedenie/repeticia/PRAVKI.md#ТЗ целиком, сформулированное в акте 6, строки 102–103	в которых больше не выйдет» · «**32 слайда — это максимум, потому что больше я просто не … вывезу.**
V0243	пункты 1, 2, 3 — один слайд	teorkat-vvedenie/repeticia/PRAVKI.md#ТЗ целиком, сформулированное в акте 6, строки 115–117	должна быть, но пункт 1, 2, 3. **На один слайд всегда это помещается.** У каждого короткая … строчка, что мы делаем»
V0249	один слайд	teorkat-vvedenie/repeticia/PRAVKI.md#КОРЕНЬ ВСЕГО, строки 143–144	«прям хороший, 18-я штука, 18-й абзац про функторы, про кобордизмы… **мне нравится очень … 18-й, первая сцена. Это реально размер одного слайда**»
V0252	8 блоков	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 1: тот же счёт блоков, строки 179–184	«Комбинаторная теория типов — понятная история. Она должна состоять из **очень небольшого … числа актов**
V0253	8 блоков за полчаса	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 1: тот же счёт блоков, строки 184–184	небольшой моралью. Вот я насчитал **8 блоков**… **Они рассказываются за полчаса, я уверен**»
V0254	полчаса на раздел	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 1: тот же счёт блоков, строки 187–189	«всё, что здесь лишнее, — **здесь лишнего не должно быть**. Оно заканчивается за полчаса … из-за очень правильной расстановки блоков всех сюжетных линий. Мы про это говорили, но
V0256	текст режется в два раза	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 1: тот же счёт блоков, строки 193–195	**Объём:** «тут очень много всего лишнего, и это нужно прям резко… по сути, я думаю, **в два раза … примерно текст порежется**.
V0257	похудеть в два раза по содержанию	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 1: тот же счёт блоков, строки 194–195	Слайдов при этом, кстати, может примерно такое же количество … остаться, но по содержанию должно **похудеть примерно в два раза**»
V0258	восемь слайдов на раздел	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 164–164	«Давай на примере второго. **Зоопарк. Восемь.**»
V0259	одна страница	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 170–170	«Второй. Это помещается на одну страницу. Ничего не нужно. **Диаграмма не нужна** … «вторая: конструкции. **Всё просто с перечислением, коротким перечислением**»
V0260	два слайда	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 171–171	**экзотические типа алгоритмов**. Это можно, наверное, **на два слайда**, я думаю, в список поместится»
V0261	7 слайдов, можно 8; текст на одну страницу на слайд	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 175–175	**Пусть будет 7 тогда. Вот и все. Вот такой план. На каждый можно поместить прямо текст на одну страницу**»
V0262	один слайд	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 172–172	«Функторы… тут даже **заголовка нет**, про функторы. Тоже такой же список. Мне кажется, **это один слайд**»
V0263	три шага	teorkat-vvedenie/repeticia/PRAVKI.md#Часть 2 (слайды 11–18), строки 174–174	«изоморфизм категорий, то есть примеры… то есть **только сначала должен быть пример, потом изоморфизм, потом определение**»
V0264	7 слайдов или 8 = реально 7–8 экранов	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 1 — СИСТЕМАТИЧЕСКОЕ, строки 226–226	«можно текст заменять и за счёт этого помещать несколько слайдов, **считать за один. Но это неправда**» · «бешеное количество сцен. **Как бы это чит. Тебе такое запрещено делать**»
V0265	8 попаданий на 5 слайдах	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 1 — СИСТЕМАТИЧЕСКОЕ, строки 227–227	«стилистика ужасная» · «это жуткая заголовок» · «Ужасный абзац… Ужасная формулировка» · «Одно тождество до дна — это жуткость… так не говорят по-русски» · «**у нас таки есть уроки, записаны они… везде в стилистике, что т
V0266	одна колонка	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 1 — СИСТЕМАТИЧЕСКОЕ, строки 228–228	«сделай меньше текста… в одну колонку… увеличить шрифт, и больше вообще ничего не писать»
V0285	четыре элемента	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 1 — СИСТЕМАТИЧЕСКОЕ, строки 234–234	а2: «мне не нравится, что у тебя четыре элемента. Опять, у тебя **слишком большая симметрия**… добавь элемент E»
V0309	две картинки	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 4, строки 314–314	«на слайде 4 можно вынести на поля **две картинки: сверху общую, а снизу частную**»
V0318	четыре элемента	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 4, строки 332–332	«мне не нравится, что у тебя четыре элемента. **Опять, у тебя слишком большая симметрия**… добавь элементы. **Добавь элемент E**»
V0329	не 5, а 10 пунктов в списке	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 7, строки 353–353	«список можно делать побольше, не из пяти пунктов, а из скольких-то **десяти пунктов**»
V0332	один слайд на мораль	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 8, строки 373–373	«**мораль должна быть очень простая: помещаться на один слайд** и быть супер понятной»
V0342	4 пункта = 4 строки в определении категории	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 13, строки 404–404	«**Четыре пункта, будет четыре строки**… такой же будет объём, **но будет читаться**»
V0352	1 слайд (а не «одна сцена») на блок конструкций	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 14, строки 421–421	«тебе нужно **вывести на слайд конструкции. Очень простые и короткие, и они должны помещаться на один слайд. Это жёсткое условие, не то что на одну сцену**»
V0359	1 строка на пункт вместо 2	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 15, строки 435–435	«**можно произнести название, как сейчас у тебя, потому что это заняло две строки. Но можно убрать название** и просто писать обозначение»
V0364	список из 5 пунктов, максимум 2 слайда	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 15, строки 441–441	«то есть **это нужно превратить в список**, может быть, это список из пяти, **из двух слайдов**»
V0365	1 слайд, 1 сцена (максимум 2), 1 минута на блок примеров	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 15, строки 442–442	«примеры должны помещаться **на один слайд. И они должны помещаться в одну, ну либо одну, либо две сцены. Скорее, одну. Просто список.** В этом смысл. **Мы хотели потратить на это минуту**»
V0367	1 слайд на функторы	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 16, строки 448–448	«Функторы… тут даже **заголовка нет**, про функторы. Тоже такой же список. Мне кажется, **это один слайд**»
V0372	3 минуты рассказа на один слайд-эталон	teorkat-vvedenie/repeticia/PRAVKI.md#Слайды 17–18, строки 460–460	«то **давай убирать это, как-то переделывать. Но вот это нормально. Вот у нас есть текст полноценный, про него можно рассказать за три минуты**»
V0373	8, возможно 9 сюжетов в части 3	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 2 — ЧАСТЬ 3 (сколько сюжетов), строки 467–469	«ну, я примерно говорю **8, там может быть 9**»
V0380	3 новых понятия за раз — перегруз	teorkat-vvedenie/repeticia/PRAVKI.md#Вводный слайд раздела, строки 492–492	«он выглядит дико для человека, который впервые это видит, что на него свалилось сразу **три новых понятия**»
V0394	3 сцены на одном слайде при общем заголовке	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд «Сопоставление не продолжается до функтора», строки 512–512	«вот это пример, как раз где **три сцены разворачиваются на одном и том же слайде, потому что у них заголовок одинаковый**»
V0395	ровно 3 сцены, каждая на полный экран	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 20 (про морфизмы), строки 518–518	«**там только сцен должно быть всего три**, ну, там может что-то появляться, но по сути должно быть **три картинки, которые поверх друг друга лежат, и каждая помещается на полный экран**»
V0397	1 раз, не 2	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 20 (про морфизмы), строки 520–520	«в первом случае их надо сказать, **один раз их надо сказать, второй раз их сказать не надо**, не перечислять»
V0400	1 слайд, 3 экрана	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 21, строки 522–522	«один слайд должен быть про группы, где в нескольких итерациях разворачивается история: **сначала, я думаю, про раскраски, про инъекции, потом про группы, потом общий случай. Это три экрана**»
V0401	3 экрана → 1 экран	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 22, строки 523–523	«она у тебя занимает несколько, **три экрана, если не больше, 22 слайд, а должна занимать один экран. Просто со списком**»
V0403	1 строчка на упражнение	teorkat-vvedenie/repeticia/PRAVKI.md#Слайд 22, строки 525–525	«**просто выносится одной строчкой, только формулировка, больше ничего не выносится**»
V0410	7–8 сюжетов в части 4	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 2 — ЧАСТЬ 4 (объём), строки 536–537	«сделай так, чтобы было **7 сюжетов, или примерно 7–8**, сколько там у тебя было
V0411	7–8 экранов	teorkat-vvedenie/repeticia/PRAVKI.md#РАЗРЕЗ 2 — ЧАСТЬ 4 (объём), строки 537–537	запланировано, и подумай, как это расположить **на 7–8 экранах. Всё, что не нужно, надо резать**»
V0426	2 часа, 32 слайда, 4 → 3 → 3,5 минуты на слайд, 1 экран на слайд	teorkat-vvedenie/repeticia/PRAVKI.md#ТАЙМИНГ, строки 591–593	«условно 2 часа, 32 слайда — это значит, что
V0427	3,5 минуты на слайд	teorkat-vvedenie/repeticia/PRAVKI.md#ТАЙМИНГ, строки 592–593	**4 минуты на слайд, меньше**… допустим, **три минуты**, ну, примерно, **три с половиной минуты**
V0428	32 слайда — рамка, не выверенный список	teorkat-vvedenie/repeticia/PRAVKI.md#ТАЙМИНГ, строки 615–617	«мы его, собственно,
V0429	5 сцен = 10 минут вместо 5	teorkat-vvedenie/repeticia/PRAVKI.md#ТАЙМИНГ, строки 612–613	ПЕРЕСКАЗ: и правило «слайд = экран», из-за нарушения которого пять полноэкранных сцен «будут не
V0430	−3 слайда (часть 1), −1 слайд (часть 2), текст в 2 раза короче	teorkat-vvedenie/repeticia/PRAVKI.md#ТАЙМИНГ, строки 612–612	ПЕРЕСКАЗ: Направление чинится тем же, что назвал он: −3 слайда в части 1, −1 в части 2, текст «в два
V0433	2 прохода расшифровки	teorkat-vvedenie/repeticia/PRAVKI.md#Сверка двух движков, строки 700–701	ПЕРЕСКАЗ: Расшифровку каждого акта делать двумя проходами и сверять — дешевле, чем потерять правку.
V0438	1 слайд на все функторы	teorkat-vvedenie/repeticia/PRAVKI.md#РЕШЕНИЯ ВЛАДЕЛЬЦА, ДОПИСАННЫЕ АНАЛИТИКОМ 29.07, строки 722–722	*«Короткий список функторов — и всё. Я думаю, на один слайд, в котором должны быть разные самые функторы, и они должны все вместе попадать в один слайд»*
